"Studien_jahr","Studie","Label","Wert","Wert_low","Wert_upp","n","var","sex","SDcasmin","agegr","bula","Fallzahl_gesamt","typ","stand","var_label","Indikator","Substrata"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1292,0.1203,0.1387,938,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2008,0.1892,0.2129,1011,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1599,0.153,0.1671,2791,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1584,0.1517,0.1654,2931,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1646,0.157,0.1725,2951,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1813,0.1753,0.1875,4049,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",23791,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.19,0.1821,0.1982,3875,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",22414,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1564,0.1384,0.1763,484,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",2941,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1927,0.1869,0.1987,7567,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",43981,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1314,0.1188,0.1452,469,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1271,0.1147,0.1405,469,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",8146,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2019,0.1854,0.2195,480,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1997,0.1836,0.2168,531,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",5465,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.163,0.1529,0.1737,1294,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.157,0.1476,0.1668,1497,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",20838,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1607,0.151,0.1709,1369,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1562,0.1471,0.1658,1562,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",21591,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.167,0.1562,0.1784,1504,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1623,0.1517,0.1735,1447,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",18902,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
