"Jahr","Studie","Label","Wert","UKI","OKI","Fallzahl","var","Geschlecht","Bildung","Altersgruppe","Region","Fallzahl_gesamt","typ","stand","var_label","Indikator","Kennzahl","Standardisierung","Achsenbeschriftung","cut","Farbcode","Legende"
2002,"GSTel03","Adipositas (BMI >= 30)",12.92,12.03,13.87,938,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",8146,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2006,"GSTel06","Adipositas (BMI >= 30)",20.08,18.92,21.29,1011,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",5465,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2009,"GEDA09","Adipositas (BMI >= 30)",15.99,15.3,16.71,2791,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",20838,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2010,"GEDA10","Adipositas (BMI >= 30)",15.84,15.17,16.54,2931,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",21591,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2012,"GEDA12","Adipositas (BMI >= 30)",16.46,15.7,17.25,2951,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",18902,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",18.13,17.53,18.75,4049,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",23791,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2019,"GEDA2019","Adipositas (BMI >= 30)",19,18.21,19.82,3875,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",22414,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2021,"GEDA2021","Adipositas (BMI >= 30)",15.64,13.84,17.63,484,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",2941,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.27,18.69,19.87,7567,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",43981,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
2002,"GSTel03","Adipositas (BMI >= 30)",13.14,11.88,14.52,469,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",8146,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA
