"Jahr","Studie","Label","Wert","UKI","OKI","Fallzahl","var","Geschlecht","Bildung","Altersgruppe","Region","Fallzahl_gesamt","typ","stand","var_label","Indikator","Kennzahl","Standardisierung","Achsenbeschriftung","cut","Farbcode","Legende","invalid1","invalid2","invalidFall"
2009,"GEDA09","Adipositas (BMI >= 30)",15.99,15.3,16.71,2791,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",20838,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",15.84,15.17,16.54,2931,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",21591,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.46,15.7,17.25,2951,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",18902,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",18.13,17.53,18.75,4049,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",23791,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",19,18.21,19.82,3875,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",22414,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.27,18.69,19.87,7567,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Deutschland",43981,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",16.3,15.29,17.37,1294,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",9061,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",15.7,14.76,16.68,1497,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",11777,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",16.07,15.1,17.09,1369,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",9487,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",15.62,14.71,16.58,1562,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",12104,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.7,15.62,17.84,1504,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",9220,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.23,15.17,17.35,1447,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",9682,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",18.31,17.43,19.23,1906,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",10785,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",17.96,17.15,18.81,2143,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",13006,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",19.07,17.91,20.28,1905,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",10641,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",18.94,17.87,20.07,1970,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",11773,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.81,18.95,20.7,3701,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Deutschland",20306,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.75,17.96,19.57,3866,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Deutschland",23675,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",22.54,21.11,24.03,1068,"PAadi","Gesamt","Einfache Bildung","Alle Altersgruppen","Deutschland",5155,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",13.03,12.19,13.92,1261,"PAadi","Gesamt","Mittlere Bildung","Alle Altersgruppen","Deutschland",10444,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",8.62,7.81,9.5,461,"PAadi","Gesamt","Höhere Bildung","Alle Altersgruppen","Deutschland",5210,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",21.89,20.5,23.35,1094,"PAadi","Gesamt","Einfache Bildung","Alle Altersgruppen","Deutschland",5228,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",12.99,12.18,13.83,1270,"PAadi","Gesamt","Mittlere Bildung","Alle Altersgruppen","Deutschland",10450,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",9.59,8.77,10.47,564,"PAadi","Gesamt","Höhere Bildung","Alle Altersgruppen","Deutschland",5888,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",23.33,21.63,25.12,981,"PAadi","Gesamt","Einfache Bildung","Alle Altersgruppen","Deutschland",4259,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",13.75,12.84,14.71,1304,"PAadi","Gesamt","Mittlere Bildung","Alle Altersgruppen","Deutschland",9114,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",10.46,9.56,11.43,665,"PAadi","Gesamt","Höhere Bildung","Alle Altersgruppen","Deutschland",5506,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",24.23,22.93,25.58,1311,"PAadi","Gesamt","Einfache Bildung","Alle Altersgruppen","Deutschland",5516,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",16.79,16.02,17.59,2141,"PAadi","Gesamt","Mittlere Bildung","Alle Altersgruppen","Deutschland",12691,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",10.63,9.74,11.59,590,"PAadi","Gesamt","Höhere Bildung","Alle Altersgruppen","Deutschland",5533,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",26.8,24.94,28.75,1080,"PAadi","Gesamt","Einfache Bildung","Alle Altersgruppen","Deutschland",4199,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",17.47,16.44,18.55,1769,"PAadi","Gesamt","Mittlere Bildung","Alle Altersgruppen","Deutschland",9849,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",10.82,10.04,11.64,1017,"PAadi","Gesamt","Höhere Bildung","Alle Altersgruppen","Deutschland",8313,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",26.1,24.68,27.57,1815,"PAadi","Gesamt","Einfache Bildung","Alle Altersgruppen","Deutschland",7462,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.69,17.91,19.5,3605,"PAadi","Gesamt","Mittlere Bildung","Alle Altersgruppen","Deutschland",19047,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",11.39,10.79,12.01,2119,"PAadi","Gesamt","Höhere Bildung","Alle Altersgruppen","Deutschland",17332,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",6.3,5.36,7.4,212,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",3702,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",12.3,11.19,13.51,619,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",5868,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",19.95,18.72,21.25,1244,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",7327,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",22.72,20.77,24.8,648,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",3388,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",15.31,11.47,20.13,68,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",553,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",5.43,4.6,6.39,192,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",3741,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",14.37,13.2,15.63,714,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",5965,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",19.69,18.52,20.92,1338,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",7831,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",20.07,18.22,22.06,601,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",3511,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",16.01,12.35,20.52,86,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",543,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",6.59,5.4,8.02,154,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",2578,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",14.23,12.72,15.89,509,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",4134,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",19.38,18.06,20.78,1313,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",7102,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",21.36,19.54,23.3,836,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",4244,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",19.17,15.32,23.71,139,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",844,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",9.27,8.14,10.54,319,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",3856,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",17.31,16.01,18.69,822,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",5283,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",20.77,19.77,21.81,1748,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",8910,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",22.09,20.68,23.57,995,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",4658,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",17.15,14.4,20.31,165,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",1084,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",9.6,7.91,11.61,170,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",2073,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",16.59,14.94,18.38,548,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",3722,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",23.32,21.94,24.76,1752,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",8864,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",23.03,21.34,24.82,1168,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",5985,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",16.8,14.07,19.92,237,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",1770,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",11.15,9.78,12.69,330,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",3438,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.79,17.38,20.29,1007,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",6618,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",23.25,22.24,24.28,3292,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",16465,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",21.12,20.03,22.26,2281,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",12109,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %",NA,NA,NA,FALSE,FALSE,FALSE
