"Jahr","Studie","Label","Wert","UKI","OKI","Fallzahl","var","Geschlecht","Bildung","Altersgruppe","Region","Fallzahl_gesamt","typ","stand","var_label","Indikator","Kennzahl","Standardisierung","Achsenbeschriftung","cut","Farbcode","Legende"
2002,"GSTel03","Ja",35.71,29.32,42.65,109,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Schleswig-Holstein",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(34.3,38.3]","3","34.3-38.3"
2002,"GSTel03","Ja",42.32,34.05,51.03,79,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(38.3,42.4]","4","38.3-42.4"
2002,"GSTel03","Ja",35.96,32,40.12,291,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Niedersachsen",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(34.3,38.3]","3","34.3-38.3"
2002,"GSTel03","Ja",46.46,33.01,60.45,34,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Bremen",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(42.4,46.5]","5","42.4-46.5"
2002,"GSTel03","Ja",34.88,32.22,37.64,604,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Nordrhein-Westfalen",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(34.3,38.3]","3","34.3-38.3"
2002,"GSTel03","Ja",33.12,28.93,37.59,238,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Hessen",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(30.2,34.3]","2","30.2-34.3"
2002,"GSTel03","Ja",32.11,27.09,37.6,151,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Rheinland-Pfalz",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(30.2,34.3]","2","30.2-34.3"
2002,"GSTel03","Ja",32.28,28.93,35.83,329,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Baden-Württemberg",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(30.2,34.3]","2","30.2-34.3"
2002,"GSTel03","Ja",30.42,27.54,33.46,420,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Bayern",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(30.2,34.3]","2","30.2-34.3"
2002,"GSTel03","Ja",37.44,25.67,50.91,28,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Saarland",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(34.3,38.3]","3","34.3-38.3"
2002,"GSTel03","Ja",43.78,37.82,49.94,155,"RCstat_k3","Gesamt","Gesamt","Alle Altersgruppen","Berlin",8316,"Kat",0,"Aktuell Raucher","Rauchen",NA,"beobachtet","Anteil der Erwachsenen in %","(42.4,46.5]","5","42.4-46.5"
